"category","matchLevel","synset","synset words","synset gloss"
"1Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"2Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"3Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"4Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"5Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"6Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"7Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"AAABattery","1","n2813606","battery,electric battery","a device that produces electricity; may have several primary or secondary cells arranged in parallel or series"
"AABattery","1","n2813606","battery,electric battery","a device that produces electricity; may have several primary or secondary cells arranged in parallel or series"
"AccentChair","1","n3005231","chair","a seat for one person, with a support for the back; ""he put his coat over the back of the chair and sat down"""
"AccentTable","1","n4386330","table","a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; ""it was a sturdy table"""
"Airplane","0","n2694015","airplane,aeroplane,plane","an aircraft that has a fixed wing and is powered by propellers or jets; ""the flight was delayed due to trouble with the airplane"""
"Animal","0","n15568","animal,animate being,beast,brute,creature,fauna","a living organism characterized by voluntary movement"
"Apple","0","n7755101","apple","fruit with red or yellow or green skin and sweet to tart crisp whitish flesh"
"Armoire","0","n2742555","armoire","a large wardrobe or cabinet; originally used for storing weapons"
"Backpack","0","n2772753","backpack,back pack,knapsack,packsack,rucksack,haversack","a bag carried by a strap on your back or shoulder"
"Bag","0","n2776042","bag","a flexible container with a single opening; ""he stuffed his laundry into a large bag"""
"Ball","0","n2781674","ball","round object that is hit or thrown or kicked in games; ""the ball travelled 90 mph on his serve""; ""the mayor threw out the first ball""; ""the ball rolled into the corner pocket"""
"BarCounter","1","n3121181","counter","table consisting of a horizontal surface over which business is transacted"
"BarTable","1","n4386330","table","a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; ""it was a sturdy table"""
"Barstool","1","n4334034","stool","a simple seat without a back or arms"
"Basket","0","n2805104","basket,handbasket","a container that is usually woven and has handles"
"Bathtub","0","n2811600","bathtub,bathing tub,tub","a relatively large open container that you fill with water and use to wash the body"
"Battery","0","n2813606","battery,electric battery","a device that produces electricity; may have several primary or secondary cells arranged in parallel or series"
"BeanBag","0","n2819791","beanbag","a small cloth bag filled with dried beans; thrown in games"
"Bear","0","n2134305","bear","massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws"
"Bed","0","n2821967","bed","a piece of furniture that provides a place to sleep; ""he sat on the edge of the bed""; ""the room had only a bed and chair"""
"BeerBottle","0","n2826570","beer bottle","a bottle that holds beer"
"Bench","0","n2832068","bench","a long seat for more than one person"
"Bicycle","0","n2837983","bicycle,bike,wheel,cycle","a wheeled vehicle that has two wheels and is moved by foot pedals"
"Bidet","0","n2839379","bidet","a basin for washing genitals and anal area"
"Bird","0","n1505702","bird","warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings"
"Blind","0","n2854358","blind,screen","a protective covering that keeps things out or hinders sight; ""they had just moved in and had not put up blinds yet"""
"Board","0","n3205892","dining table,board","a table at which meals are served; ""he helped her clear the dining table""; ""a feast was spread upon the board"""
"Book","0","n6422547","book","a written work or composition that has been published (printed on pages bound together); ""I am reading a good book on economics"""
"Bookcase","0","n2874241","bookcase","a piece of furniture with shelves for storing books"
"Books","0","n6422547","book","a written work or composition that has been published (printed on pages bound together); ""I am reading a good book on economics"""
"Booth","0","n2877456","booth","a table (in a restaurant or bar) surrounded by two high-backed benches"
"Bottle","0","n2879899","bottle","a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped"
"Bowl","0","n2884435","bowl","a round vessel that is open at the top; used chiefly for holding food or liquids"
"Bucket","0","n2913195","bucket,pail","a roughly cylindrical vessel that is open at the top"
"Bus","0","n2927500","bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehicle","a vehicle carrying many passengers; used for public transport; ""he always rode the bus to work"""
"Butterfly","0","n2276911","butterfly","diurnal insect typically having a slender body with knobbed antennae and broad colorful wings"
"Cabinet","0","n2936496","cabinet","a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display"
"Cabling","0","n2937552","cable,line,transmission line","a conductor for transmitting electrical or optical signals or electric power"
"Cage","0","n2940098","cage,coop","an enclosure made or wire or metal bars in which birds or animals can be kept"
"Calculator","0","n2942270","calculator,calculating machine","a small machine that is used for mathematical calculations; can be mechanical or electronic"
"Camera","0","n2946154","camera,photographic camera","equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)"
"CanOpener","0","n2955021","can opener,tin opener","a device for cutting cans open"
"Candle","0","n2951508","candle,taper,wax light","stick of wax with a wick in the middle"
"Canister","0","n2980100","case shot,canister,canister shot","a metallic cylinder packed with shot and used as ammunition in a firearm"
"CanopyBed","0","n3393395","four-poster","a bed with posts at the four corners that can be used to support a canopy or curtains"
"Cap","0","n2957776","cap","a tight-fitting headdress"
"Car","0","n2961779","car,auto,automobile,machine,motorcar","a motor vehicle with four wheels; usually propelled by an internal combustion engine; ""he needs a car to get to work"""
"Carrot","0","n12958438","carrot","deep orange edible root of the cultivated carrot plant"
"Cassette","0","n2982340","cassette","a container that holds a magnetic tape used for recording or playing sound or video"
"Cat","0","n2124272","cat,true cat","feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats"
"CeilingFan","1","n3324991","fan","a device for creating a current of air by movement of a surface or surfaces"
"CeilingLamp","2","n3008889","chandelier,pendant,pendent","branched lighting fixture; often ornate; hangs from the ceiling"
"CellPhone","0","n2995984","cellular telephone,cellular phone,cellphone,cell,mobile phone","a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
"CerealBox","0","n3001610","cereal box","a paper box in which breakfast cereals are sold"
"Chair","0","n3005231","chair","a seat for one person, with a support for the back; ""he put his coat over the back of the chair and sat down"""
"ChairWithOttoman","1","n3005231","chair","a seat for one person, with a support for the back; ""he put his coat over the back of the chair and sat down"""
"Chaise","0","n3006315","chaise longue,chaise,daybed","a long chair; for reclining"
"ChestOfDrawers","0","n3018908","chest of drawers,chest,bureau,dresser","furniture with drawers for keeping clothes"
"ChildBed","1","n2821967","bed","a piece of furniture that provides a place to sleep; ""he sat on the edge of the bed""; ""the room had only a bed and chair"""
"Chocolate","0","n7617570","chocolate","a food made from roasted ground cacao beans"
"Clock","0","n3050242","clock","a timepiece that shows the time of day"
"Closet","0","n4557470","wardrobe,closet,press","a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes"
"Coaster","0","n3060686","coaster","a covering (plate or mat) that protects the surface of a table (i.e., from the condensation on a cold glass or bottle)"
"CoatRack","0","n3063106","coatrack,coat rack,hatrack","a rack with hooks for temporarily holding coats and hats"
"CoffeeTable","0","n3067971","coffee table,cocktail table","low table where magazines can be placed and coffee or cocktails are served"
"Coin","0","n13409418","coin","a flat metal piece (usually a disc) used as money"
"ComforterSet","0","n4040471","quilt,comforter,comfort,puff","bedding made of two layers of cloth filled with stuffing and stitched together"
"Computer","0","n3086983","computer,computing machine,computing device,data processor,electronic computer,information processing system","a machine for performing calculations automatically"
"ComputerMouse","0","n3799022","mouse,computer mouse","a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad; ""a mouse takes much more room than a trackball"""
"Controller","0","n4082075","remote control,remote","a device that can be used to control a machine or apparatus from a distance; ""he lost the remote for his TV"""
"Cookie","0","n7650764","cookie,cooky,biscuit","any of various small flat sweet cakes (`biscuit' is the British term)"
"Copier","0","n3262289","duplicator,copier","apparatus that makes copies of typed, written or drawn material"
"Couch","0","n4263630","sofa,couch,lounge","an upholstered seat for more than one person"
"Counter","0","n3121181","counter","table consisting of a horizontal surface over which business is transacted"
"Cow","0","n2406106","cow,moo-cow","female of domestic cattle: ""`moo-cow' is a child's term"""
"Cradle","0","n3130380","cradle","a baby bed with sides and rockers"
"Credenza","0","n3134404","credenza,credence","a kind of sideboard or buffet"
"Cup","0","n3152175","cup","a small open container usually used for drinking; usually has a handle; ""he put the cup back in the saucer""; ""the handle of the cup was missing"""
"CurioCabinet","0","n3022003","china cabinet,china closet","a cabinet (usually with glass doors) for storing and displaying china"
"Curtain","0","n3155743","curtain,drape,drapery,mantle,pall","hanging cloth used as a blind (especially for a window)"
"DSLRCamera","1","n2946154","camera,photographic camera","equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)"
"DecorativeAccessory","0","","",""
"Desk","0","n3184367","desk","a piece of furniture with a writing surface and usually drawers or other compartments"
"DeskLamp","1","n3641940","lamp","a piece of furniture holding one or more electric light bulbs"
"Desktop","0","n3184677","desktop computer","a personal computer small enough to fit conveniently in an individual workspace"
"DiningTable","0","n3205892","dining table,board","a table at which meals are served; ""he helped her clear the dining table""; ""a feast was spread upon the board"""
"DiscCase","0","","",""
"Dog","0","n2086723","dog,domestic dog,Canis familiaris","a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; ""the dog barked all night"""
"Donut","0","n7654678","doughnut,donut,sinker","a small ring-shaped friedcake"
"Door","0","n3226423","door","a swinging or sliding barrier that will close the entrance to a room or building or vehicle; ""he knocked on the door""; ""he slammed the door as he left"""
"DoubleBed","0","n3230691","double bed","a bed wide enough to accommodate two sleepers"
"DraftingTable","0","n3236071","drafting table,drawing table","a worktable with adjustable top"
"Dresser","1","n3018908","chest of drawers,chest,bureau,dresser","furniture with drawers for keeping clothes"
"DresserWithMirror","1","n3018908","chest of drawers,chest,bureau,dresser","furniture with drawers for keeping clothes"
"DrinkBottle","1","n2879899","bottle","a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped"
"DrinkingUtensil","2","n3099154","container","any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)"
"Easel","0","n3267512","easel","an upright tripod for displaying something (usually an artist's canvas)"
"Elephant","0","n2506148","elephant","five-toed pachyderm"
"EndTable","1","n4386330","table","a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; ""it was a sturdy table"""
"Eraser","0","n3299762","eraser","an implement used to erase something"
"Fan","0","n3324991","fan","a device for creating a current of air by movement of a surface or surfaces"
"Faucet","0","n3330033","faucet,spigot","a regulator for controlling the flow of a liquid from a reservoir"
"FileCabinet","0","n3342085","file,file cabinet,filing cabinet","office furniture consisting of a container for keeping papers in order"
"Fireplace","0","n3351301","fireplace,hearth,open fireplace","an open recess in a wall at the base of a chimney where a fire can be built; ""the fireplace was so large you could walk inside it""; ""he laid a fire in the hearth and lit it""; ""the hearth was black with the charcoal of many fires"""
"Fish","0","n2514684","fish","any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills; ""the shark is a large fish""; ""in the living room there was a tank of colorful fish"""
"FloorLamp","0","n3371905","floor lamp","a lamp that stands on the floor"
"FoodItem","0","n21445","food,nutrient","any substance that can be metabolized by an animal to give energy and build tissue"
"Fork","0","n3388794","fork","cutlery used for serving and eating food"
"Fruit","0","n13155706","fruit","the ripened reproductive body of a seed plant"
"FruitBowl","1","n21445","food,nutrient","any substance that can be metabolized by an animal to give energy and build tissue"
"Futon","0","n3413354","futon","mattress consisting of a pad of cotton batting that is used for sleeping on the floor or on a raised frame"
"GameTable","0","n3419586","gaming table","a table used for gambling; may be equipped with a gameboard and slots for chips"
"Gamecube","0","","",""
"Giraffe","0","n2441664","giraffe,camelopard,Giraffa camelopardalis","tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa"
"Glasses","0","n4279164","spectacles,specs,eyeglasses,glasses","(plural) optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision"
"Guitar","0","n3472449","guitar","a stringed instrument usually having six strings; played by strumming or plucking"
"GuitarStand","2","n4044916","rack,stand","a support for displaying various articles; ""the newspapers were arranged on a rack"""
"Gun","0","n3472916","gun","a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)"
"Hammer","0","n3486255","hammer","a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking"
"Hanger","0","n3495985","hanger","anything from which something can be hung"
"Harp","0","n3500383","harp","a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers"
"Hat","0","n3502782","hat,chapeau,lid","headdress that protects the head from bad weather; has shaped crown and usually a brim"
"Headboard","0","n3507344","headboard","a vertical board or panel forming the head of a bedstead"
"Headphones","0","n3266479","earphone,earpiece,headphone,phone","electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear; ""it was not the typing but the earphones that she disliked"""
"Helicopter","0","n3517291","helicopter,chopper,whirlybird,eggbeater","an aircraft without wings that obtains its lift from the rotation of overhead blades"
"Horse","0","n2377103","horse,Equus caballus","solid-hoofed herbivorous quadruped domesticated since prehistoric times"
"Kettle","0","n3618023","kettle,boiler","a metal pot for stewing or boiling; usually has a lid"
"Keyboard","0","n3619216","keyboard","device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like"
"KingBed","1","n2821967","bed","a piece of furniture that provides a place to sleep; ""he sat on the edge of the bed""; ""the room had only a bed and chair"""
"KneelingChair","1","n3005231","chair","a seat for one person, with a support for the back; ""he put his coat over the back of the chair and sat down"""
"Knife","0","n3628765","knife","edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle"
"LDesk","1","n3184367","desk","a piece of furniture with a writing surface and usually drawers or other compartments"
"Ladder","0","n3637568","ladder","steps consisting of two parallel members connected by rungs; for climbing up or down"
"Lamp","0","n3641940","lamp","a piece of furniture holding one or more electric light bulbs"
"LampPost","0","n3642472","lamppost","a metal post supporting an outdoor lamp (such as a streetlight)"
"Laptop","0","n3648120","laptop,laptop computer","a portable computer small enough to use in your lap"
"Lectern","0","n3658909","lectern,reading desk","desk or stand with a slanted top used to hold a text at the proper height for a lecturer"
"Letter","0","n6636668","letter,missive","a written message addressed to a person or organization; ""mailed an indignant letter to the editor"""
"LightSwitch","0","n4379457","switch,electric switch,electrical switch","control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit"
"LoftBed","0","n2923643","bunk bed,bunk","beds built one above the other"
"Loveseat","0","n3698800","love seat,loveseat,tete-a-tete,vis-a-vis","small sofa that seats two people"
"Magnet","0","n3710918","magnet","(physics) a device that attracts iron and produces a magnetic field"
"Marker","0","n3727498","marker","a writing implement for making a mark"
"Mattress","0","n3736655","mattress","a large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed"
"MediaChest","2","n3018908","chest of drawers,chest,bureau,dresser","furniture with drawers for keeping clothes"
"MediaDiscs","0","n3857307","optical disk,optical disc","a disk coated with plastic that can store digital data as tiny pits etched in the surface; is read with a laser that scans the surface"
"MediaPlayer","2","n2991759","CD player","a stand-alone piece of electronic equipment that either has its own display or attaches to a television set"
"MediaStorage","0","","",""
"Microwave","0","n3766619","microwave,microwave oven","kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food"
"MilkCarton","2","n2974815","carton","a box made of cardboard; opens by flaps on top"
"Mirror","0","n3778568","mirror","polished surface that forms images by reflecting light"
"Monitor","0","n3787723","monitor,monitoring device","display produced by a device that takes signals and displays them on a television screen or a computer monitor"
"Motorcycle","0","n3796045","motorcycle,bike","a motor vehicle with two wheels and a strong frame"
"MousePad","0","n3800177","mousepad,mouse mat","a small portable pad that provides traction for the ball of a computer mouse"
"Mug","0","n3802912","mug","with handle and usually cylindrical"
"Nightstand","1","n3018908","chest of drawers,chest,bureau,dresser","furniture with drawers for keeping clothes"
"NintendoDS","0","","",""
"Notepad","0","n15045652","notepad","a pad of paper for keeping notes"
"OfficeChair","1","n3005231","chair","a seat for one person, with a support for the back; ""he put his coat over the back of the chair and sat down"""
"OfficeSideChair","1","n3005231","chair","a seat for one person, with a support for the back; ""he put his coat over the back of the chair and sat down"""
"Orange","0","n7763583","orange","round yellow to orange fruit of any of several citrus trees"
"Ottoman","0","n3863938","ottoman,pouf,pouffe,puff,hassock","thick cushion used as a seat"
"OutdoorTable","1","n4386330","table","a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; ""it was a sturdy table"""
"Oven","0","n3868196","oven","kitchen appliance used for baking or roasting"
"OvenTop","0","","",""
"PS","0","","",""
"PS2","0","","",""
"PS3","0","","",""
"PSP","0","","",""
"Painting","0","n3882197","painting,picture","graphic art consisting of an artistic composition made by applying paints to a surface; ""a small painting by Picasso""; ""he bought the painting as an investment""; ""his pictures hang in the Louvre"""
"Pan","0","n3886228","pan,cooking pan","cooking utensil consisting of a wide metal vessel"
"Paper","0","n14998823","paper","a material made of cellulose pulp derived mainly from wood or rags or certain grasses"
"PaperBox","2","n2886585","box","a (usually rectangular) container; may have a lid; ""he rummaged through a box of spare parts"""
"PaperClip","0","n3892459","paper clip,paperclip,gem clip","a wire or plastic clip for holding sheets of paper together; ""the paper clip was invented in 1900"""
"Pedestal","0","n2800851","base,pedestal,stand","a support or foundation; ""the base of the lamp"""
"Pen","0","n3913116","pen","a writing implement with a point from which ink flows"
"Pencil","0","n3914323","pencil","a thin cylindrical pointed writing implement; a rod of marking substance encased in wood"
"PersonStanding","0","n5224944","person","a human body (usually including the clothing); ""a weapon was hidden on his person"""
"Phone","0","n4408223","telephone,phone,telephone set","electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds; ""I talked to him on the telephone"""
"Phonebooth","0","n4408815","telephone booth,phone booth,call box,telephone box,telephone kiosk","booth for using a telephone"
"Piano","0","n3934354","piano,pianoforte,forte-piano","a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds"
"PianoKeyboard","0","n3935052","piano keyboard,fingerboard,clavier","a bank of keys on a musical instrument"
"Picture","0","n3937282","picture,image,icon,ikon","a visual representation (of an object or scene or person or abstraction) produced on a surface; ""they showed us the pictures of their wedding""; ""a movie is a series of images projected so rapidly that the eye integrates them"""
"PictureFrame","0","n3938003","picture frame","a framework in which a picture is mounted"
"PillBottle","0","n3943819","pill bottle","a small bottle for holding pills"
"Pillow","0","n3944520","pillow","a cushion to support the head of a sleeping person"
"Pizza","0","n7889783","pizza,pizza pie","Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese"
"Plant","0","n17402","plant,flora,plant life","(botany) a living organism lacking the power of locomotion"
"Plate","0","n3965779","plate","dish on which food is served or from which food is eaten"
"Plotter","0","n3973728","plotter","an instrument (usually driven by a computer) for drawing graphs or pictures"
"Poster","0","n6806283","poster,posting,placard,notice,bill,card","a sign posted in a public place as an advertisement; ""a poster advertised the coming attractions"""
"PosterBed","1","n2821967","bed","a piece of furniture that provides a place to sleep; ""he sat on the edge of the bed""; ""the room had only a bed and chair"""
"PotRack","1","n4045203","rack","framework for holding objects"
"PottedPlant","1","n17402","plant,flora,plant life","(botany) a living organism lacking the power of locomotion"
"PowerSocket","0","n4556057","wall socket,wall plug,electric outlet,electrical outlet,outlet,electric receptacle","receptacle providing a place in a wiring system where current can be taken to run electrical devices"
"PowerStrip","0","","",""
"Printer","0","n4011143","printer","(computer science) an output device that prints the results of data processing"
"Purse","0","n2777157","bag,handbag,pocketbook,purse","a container used for carrying money and small personal items or accessories (especially by women); ""she reached into her bag and found a comb"""
"QueenBed","1","n2821967","bed","a piece of furniture that provides a place to sleep; ""he sat on the edge of the bed""; ""the room had only a bed and chair"""
"QueenBedWithNightstand","1","n2821967","bed","a piece of furniture that provides a place to sleep; ""he sat on the edge of the bed""; ""the room had only a bed and chair"""
"Rabbit","0","n2326697","rabbit,coney,cony","any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food"
"Rack","0","n4045203","rack","framework for holding objects"
"Radio","0","n4050813","radio receiver,receiving set,radio set,radio,tuner,wireless","an electronic receiver that detects and demodulates and amplifies transmitted signals"
"Recliner","0","n4069540","recliner,reclining chair,lounger","an armchair whose back can be lowered and foot can be raised to allow the sitter to recline in it"
"Refrigerator","0","n3278824","electric refrigerator,fridge","a refrigerator in which the coolant is pumped around by an electric motor"
"Ring","0","n4099721","ring,band","jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger; ""she had rings on every finger""; ""he noted that she wore a wedding band"""
"RoundTable","1","n4386330","table","a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; ""it was a sturdy table"""
"RubiksCube","0","","",""
"Rug","0","n4125115","rug,carpet,carpeting","floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)"
"Sandwich","0","n7711710","sandwich","two (or more) slices of bread with a filling between them"
"Scissors","0","n4155119","scissors,pair of scissors","an edge tool having two crossed pivoting blades"
"ScrewDriver","0","n4161626","screwdriver","a hand tool for driving screws; has a tip that fits into the head of a screw"
"Sectional","0","n4172470","sectional","a piece of furniture made up of sections that can be arranged individually or together"
"Shampoo","0","n4190559","shampoo","cleansing agent consisting of soaps or detergents used for washing the hair"
"Sheep","0","n2414351","sheep","woolly usually horned ruminant mammal related to the goat"
"Ship","0","n4201332","ship","a vessel that carries passengers or freight"
"Shirt","0","n4204434","shirt","a garment worn on the upper half of the body"
"Shoes","0","n4206070","shoe","footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material"
"Shower","0","n4216003","shower","a plumbing fixture that sprays water over you; ""they installed a shower in the bathroom"""
"Showerhead","0","n4216450","showerhead","a perforated nozzle that showers water on a bather"
"SideChair","0","n4338415","straight chair,side chair","a straight-backed chair without arms"
"Sideboard","0","n2915411","buffet,counter,sideboard","a piece of furniture that stands at the side of a dining room; has shelves and drawers"
"SingleBed","0","n4229277","single bed","a bed for one occupant"
"Sink","0","n4230655","sink","plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe"
"Sleeper","0","n4242752","sleeper","a piece of furniture that can be opened up into a bed"
"SoapBar","0","n4260547","soap","a cleansing agent made from the salts of vegetable or animal fats"
"SodaCan","0","n4262696","soda can","a can for holding soft drinks"
"Speaker","0","n3696785","loudspeaker,speaker,speaker unit,loudspeaker system,speaker system","electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance"
"Spoon","0","n4291140","spoon","a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food"
"StandingClock","1","n3050242","clock","a timepiece that shows the time of day"
"Stapler","0","n4310635","stapler,stapling machine","a machine that inserts staples into sheets of paper in order to fasten them together"
"Statue","0","n4313985","statue","a sculpture representing a human or animal"
"Stool","0","n4334034","stool","a simple seat without a back or arms"
"Suitcase","0","n2776843","bag,traveling bag,travelling bag,grip,suitcase","a portable rectangular container for carrying clothes; ""he carried his small bag onto the plane with him"""
"Sword","0","n4380981","sword,blade,brand,steel","a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard"
"TV","0","n4413042","television receiver,television,television set,tv,tv set,idiot box,boob tube,telly,goggle box","an electronic device that receives television signals and displays them on a screen; ""the British call a tv set a telly"""
"Table","0","n4386330","table","a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; ""it was a sturdy table"""
"TableClock","1","n3050242","clock","a timepiece that shows the time of day"
"TableLamp","0","n4387620","table lamp","a lamp that sits on a table"
"Tank","0","n4396120","tank,army tank,armored combat vehicle,armoured combat vehicle","an enclosed armored military vehicle; has a cannon and moves on caterpillar treads"
"Teacup","0","n4404587","teacup","a cup from which tea is drunk"
"Teapot","0","n4405179","teapot","pot for brewing tea; usually has a spout and handle"
"Telephone","1","n4408223","telephone,phone,telephone set","electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds; ""I talked to him on the telephone"""
"Thermostat","0","n4430010","thermostat,thermoregulator","a regulator for automatically regulating temperature by starting or stopping the supply of heat"
"Throw","0","n4437105","throw","bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"
"TissueBox","2","n2886585","box","a (usually rectangular) container; may have a lid; ""he rummaged through a box of spare parts"""
"Toilet","0","n4453655","toilet,can,commode,crapper,pot,potty,stool,throne","a plumbing fixture for defecation and urination"
"ToiletPaper","0","n15099708","toilet tissue,toilet paper,bathroom tissue","a soft thin absorbent paper for use in toilets"
"ToyFigure","2","n3971038","plaything,toy","an artifact designed to be played with"
"TrashBin","0","n2750182","ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin","a bin that holds rubbish until it is collected"
"Truck","0","n4497386","truck,motortruck","an automotive vehicle suitable for hauling"
"Trundle","0","n4498933","trundle bed,trundle,truckle bed,truckle","a low bed to be slid under a higher bed"
"TvStand","2","n4308138","stand","a small table for holding articles of various kinds; ""a bedside stand"""
"USBStick","2","n3750331","memory device,storage device","a device that preserves information for retrieval"
"Umbrella","0","n4514450","umbrella","a lightweight handheld collapsible canopy"
"Vanity","0","n3243289","dressing table,dresser,vanity,toilet table","low table with mirror or mirrors where one sits while dressing or applying makeup"
"Vase","0","n4529463","vase","an open jar of glass or porcelain used as an ornament or to hold flowers"
"VideoGameConsole","0","","",""
"VideoGameController","0","","",""
"Violin","0","n4544161","violin,fiddle","bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow"
"WallArt","2","n3496279","hanging,wall hanging","decoration that is hung (as a tapestry) on a wall or over a window; ""the cold castle walls were covered with hangings"""
"WallClock","0","n4555566","wall clock","a clock mounted on a wall"
"WallLamp","2","n4155768","sconce","a candle or flaming torch secured in a sconce"
"WallUnit","0","n4556408","wall unit","a piece of furniture having several units that stands against one wall of a room"
"Wallet","0","n4555648","wallet,billfold,notecase,pocketbook","a pocket-size case for holding papers and paper money"
"Wardrobe","1","n4557470","wardrobe,closet,press","a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes"
"Washer","0","n4561970","washer,automatic washer,washing machine","a home appliance for washing clothes and linens automatically"
"Watch","0","n4563183","watch,ticker","a small portable timepiece"
"WebCam","0","n4576349","webcam","a digital camera designed to take digital photographs and transmit them over the internet"
"Wii","0","","",""
"Window","0","n4594951","window","a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air"
"WineBottle","0","n4599016","wine bottle","a bottle for holding wine"
"WineGlass","0","n4599402","wineglass","a glass that has a stem and in which wine is served"
"WineRack","1","n4045203","rack","framework for holding objects"
"Xbox","0","","",""
"Xbox360","0","","",""
